"","COYNAME","REGNO","ACCTYPEDESC","COYDESC","FYEAR","TTASSET","TTCRASSET","TTNCRASSET","TTLIAB","TTCRLIAB","TTNCRLIAB","TTEQUITY","PUCAP","SHARECAP","OTHERRESERVESTT","RETAINEARN","AR_CURRWCAP","AR_PROPRATIO","AR_TOTALDEBT"
"58","NICO STEEL HOLDINGS LIMITED","200104166D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,11225772,4778553,6447219,1007454,853745,153709,10218318,0,7722794,0,2495524,5.6,91.03,8.97
"59","NTEGRATOR INTERNATIONAL LTD.","199904281D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,16730000,730000,1.6e+07,505000,505000,0,16225000,0,15827000,355000,54000,1.45,96.98,3.02
"60","M DEVELOPMENT LTD.","200201764D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,2673000,939000,1734000,42000,42000,0,2631000,2,24423000,0,-21792000,22.36,98.43,1.57
"61","OLD CHANG KEE LTD.","200416190W","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,13633000,7760000,5873000,660000,660000,0,12973000,2,10081000,1136000,1756000,11.76,95.16,4.84
"62","EDITION LTD.","200411873E","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,7512000,275000,7237000,117000,117000,0,7395000,2,12667000,-50000,-4228000,2.35,98.44,1.56
"63","FAR EAST ORCHARD LIMITED","196700511H","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,1211627000,8528000,1203099000,392008000,16380000,375628000,819619000,0,356713000,400541000,62365000,0.52,67.65,32.35
"64","PARKWAY HOLDINGS LIMITED","197400320R","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,2762657000,183843000,2578814000,1544738000,69837000,1474901000,1217919000,0,1144454000,0,73465000,2.63,44.09,55.91
"65","PNE INDUSTRIES LTD","199905792R","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,41288000,7217000,34071000,626000,626000,0,40662000,0,36991000,0,3671000,11.53,98.48,1.52
"66","PNE MICRON HOLDINGS LTD","200105909M","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,16687000,680000,16007000,960000,960000,0,15727000,0,23917000,0,-8190000,0.71,94.25,5.75
"67","Q & M DENTAL GROUP (SINGAPORE) LIMITED","200800507R","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,24105000,19401000,4704000,837000,837000,0,23268000,1,22947000,0,321000,23.18,96.53,3.47
"68","RIVERSTONE HOLDINGS LIMITED","200510666D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,130219000,23476000,106743000,239000,239000,0,129980000,2,110129000,4684000,15167000,98.23,99.82,0.18
"69","SAPPHIRE CORPORATION LIMITED","198502465W","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2010,258754299,21515264,237239035,4498479,4479792,18687,254255820,0,260488785,-3548335,-2684630,4.8,98.26,1.74
"70","SEMBCORP MARINE LTD","196300098Z","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,1042089000,170494000,871595000,126838000,71562000,55276000,915251000,0,470596000,25727000,429483000,2.38,87.83,12.17
"71","SATS LTD.","197201770G","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,1562541000,233898000,1328643000,294675000,249288000,45387000,1267866000,0,324743000,18815000,925583000,0.94,81.14,18.86
"72","SINGAPORE EXCHANGE LIMITED","199904940D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,1010883000,472039000,538844000,329393000,329393000,0,681490000,0,414851000,20227000,124359000,1.43,67.42,32.58
"73","SINO GRANDNESS FOOD INDUSTRY GROUP LIMITED","200706801H","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,153452138,158834,153293304,14082701,9613701,4469000,139369437,2,167896912,0,-28527475,0.02,90.82,9.18
"74","SINOMEM TECHNOLOGY PTE. LTD.","200208107G","Consolidated","LIMITED PRIVATE COMPANY",2009,156837000,149937000,6900000,26329000,26329000,0,130508000,2,120782000,0,11430000,5.69,83.21,16.79
"75","SMRT CORPORATION LTD","200001855H","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,563631000,167976000,395655000,121049000,120221000,828000,442582000,0,164811000,2922000,274849000,1.4,78.52,21.48
"76","SOILBUILD GROUP HOLDINGS LTD.","199609233M","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,168760000,113219000,55541000,87948000,87907000,41000,80812000,0,58703000,5067000,17299000,1.29,47.89,52.11
"77","STARHUB LTD.","199802208C","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,2639159000,983383000,1655776000,1397394000,736243000,661151000,1241765000,0,257514000,279205000,705046000,1.34,47.05,52.95
"78","SUPER GROUP LTD.","199101696K","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2009,181368000,23008000,158360000,18682000,9205000,9477000,162686000,0,142517000,10755000,11227000,2.5,89.7,10.3
"79","TEE INTERNATIONAL LIMITED","200007107D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES",2011,129522776,81044258,48478518,93956990,80873497,13083493,35565786,0,27282616,1101532,7181638,1,27.46,72.54
