COYNAME,REGNO,ACCTYPEDESC,COYDESC,FYEAR,REVENUE_AMT,PBFTAX,LBFTAX,PAFTAX,LAFTAX,TTASSET,TTCRASSET,TTNCRASSET,TTLIAB,TTCRLIAB,TTNCRLIAB,TTEQUITY,PUCAP,SHARECAP,OTHERRESERVESTT,RETAINEARN,AR_NETPROFITSALES,AR_RETINVESTMENT,AR_RETSHAREFUNDS,AR_TASSETSTO,AR_CURRWCAP,AR_PROPRATIO,AR_TOTALDEBT
BROOKE ASIA LIMITED,200718683N,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"44,393,000.00","16,270,000.00","28,123,000.00","190,000.00","190,000.00",0.00,"44,203,000.00",0.00,"28,460,000.00",0.00,"15,743,000.00",0.00,0.00,0.00,,85.63,99.57,0.43
LION ASIAPAC LIMITED,196800586R,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"160,161,000.00","159,204,000.00","957,000.00","77,043,000.00","76,487,000.00","556,000.00","83,118,000.00",0.00,"47,494,000.00","13,543,000.00","22,081,000.00",0.00,0.00,0.00,,2.08,51.90,48.10
MAPLETREE LOGISTICS TRUST MANAGEMENT LTD.,200500947N,Company,PUBLIC COMPANY LIMITED BY SHARES,2011,"21,554,000.00","8,070,000.00",,"6,657,000.00",,"38,960,000.00","35,512,000.00","3,448,000.00","23,503,000.00","17,123,000.00","6,380,000.00","15,457,000.00",2.00,"1,000,000.00","138,000.00","14,319,000.00",30.89,17.09,43.07,0.55,2.07,39.67,60.33
MARCO POLO MARINE LTD.,200610073Z,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"57,486,000.00","53,166,000.00","4,320,000.00","832,000.00","832,000.00",0.00,"56,654,000.00",3.00,"59,239,000.00",0.00,"-2,585,000.00",0.00,0.00,0.00,,63.90,98.55,1.45
MENCAST HOLDINGS LTD.,200802235C,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"33,052,000.00","12,152,000.00","20,900,000.00","9,149,000.00","9,149,000.00",0.00,"23,903,000.00",2.00,"25,126,000.00",0.00,"-1,223,000.00",0.00,0.00,0.00,,1.33,72.32,27.68
MTQ CORPORATION LIMITED,196900057Z,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"81,295,000.00","21,123,000.00","60,172,000.00","28,805,000.00","5,752,000.00","23,053,000.00","52,490,000.00",0.00,"28,932,000.00","-18,000.00","27,568,000.00",0.00,0.00,0.00,,3.67,64.57,35.43
MULTI-CHEM LIMITED,198500318Z,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"84,051,000.00","10,930,000.00","73,121,000.00","25,246,000.00","24,937,000.00","309,000.00","58,805,000.00",0.00,"37,288,000.00",0.00,"21,517,000.00",0.00,0.00,0.00,,0.44,69.96,30.04
NH CERAMICS LTD,199704544C,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"10,012,763.00","1,838,587.00","8,174,176.00","777,525.00","777,525.00",0.00,"9,235,238.00",0.00,"19,504,949.00",0.00,"-10,269,711.00",0.00,0.00,0.00,,2.36,92.23,7.77
NICO STEEL HOLDINGS LIMITED,200104166D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"11,225,772.00","4,778,553.00","6,447,219.00","1,007,454.00","853,745.00","153,709.00","10,218,318.00",0.00,"7,722,794.00",0.00,"2,495,524.00",0.00,0.00,0.00,,5.60,91.03,8.97
NTEGRATOR INTERNATIONAL LTD.,199904281D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"16,730,000.00","730,000.00","16,000,000.00","505,000.00","505,000.00",0.00,"16,225,000.00",0.00,"15,827,000.00","355,000.00","54,000.00",0.00,0.00,0.00,,1.45,96.98,3.02
M DEVELOPMENT LTD.,200201764D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"2,673,000.00","939,000.00","1,734,000.00","42,000.00","42,000.00",0.00,"2,631,000.00",2.00,"24,423,000.00",0.00,"-21,792,000.00",0.00,0.00,0.00,,22.36,98.43,1.57
OLD CHANG KEE LTD.,200416190W,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"13,633,000.00","7,760,000.00","5,873,000.00","660,000.00","660,000.00",0.00,"12,973,000.00",2.00,"10,081,000.00","1,136,000.00","1,756,000.00",0.00,0.00,0.00,,11.76,95.16,4.84
EDITION LTD.,200411873E,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"7,512,000.00","275,000.00","7,237,000.00","117,000.00","117,000.00",0.00,"7,395,000.00",2.00,"12,667,000.00","-50,000.00","-4,228,000.00",0.00,0.00,0.00,,2.35,98.44,1.56
FAR EAST ORCHARD LIMITED,196700511H,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"1,211,627,000.00","8,528,000.00","1,203,099,000.00","392,008,000.00","16,380,000.00","375,628,000.00","819,619,000.00",0.00,"356,713,000.00","400,541,000.00","62,365,000.00",0.00,0.00,0.00,,0.52,67.65,32.35
PARKWAY HOLDINGS LIMITED,197400320R,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"2,762,657,000.00","183,843,000.00","2,578,814,000.00","1,544,738,000.00","69,837,000.00","1,474,901,000.00","1,217,919,000.00",0.00,"1,144,454,000.00",0.00,"73,465,000.00",0.00,0.00,0.00,,2.63,44.09,55.91
PNE INDUSTRIES LTD,199905792R,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"41,288,000.00","7,217,000.00","34,071,000.00","626,000.00","626,000.00",0.00,"40,662,000.00",0.00,"36,991,000.00",0.00,"3,671,000.00",0.00,0.00,0.00,,11.53,98.48,1.52
PNE MICRON HOLDINGS LTD,200105909M,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"16,687,000.00","680,000.00","16,007,000.00","960,000.00","960,000.00",0.00,"15,727,000.00",0.00,"23,917,000.00",0.00,"-8,190,000.00",0.00,0.00,0.00,,0.71,94.25,5.75
Q & M DENTAL GROUP (SINGAPORE) LIMITED,200800507R,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"24,105,000.00","19,401,000.00","4,704,000.00","837,000.00","837,000.00",0.00,"23,268,000.00",1.00,"22,947,000.00",0.00,"321,000.00",0.00,0.00,0.00,,23.18,96.53,3.47
RIVERSTONE HOLDINGS LIMITED,200510666D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"130,219,000.00","23,476,000.00","106,743,000.00","239,000.00","239,000.00",0.00,"129,980,000.00",2.00,"110,129,000.00","4,684,000.00","15,167,000.00",0.00,0.00,0.00,,98.23,99.82,0.18
SAPPHIRE CORPORATION LIMITED,198502465W,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"258,754,299.00","21,515,264.00","237,239,035.00","4,498,479.00","4,479,792.00","18,687.00","254,255,820.00",0.00,"260,488,785.00","-3,548,335.00","-2,684,630.00",0.00,0.00,0.00,,4.80,98.26,1.74
SEMBCORP MARINE LTD,196300098Z,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,"54,945,000.00","726,234,000.00",,"725,811,000.00",,"1,042,089,000.00","170,494,000.00","871,595,000.00","126,838,000.00","71,562,000.00","55,276,000.00","915,251,000.00",0.00,"470,596,000.00","25,727,000.00","429,483,000.00","1,320.98",69.65,79.30,0.05,2.38,87.83,12.17
SATS LTD.,197201770G,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"1,562,541,000.00","233,898,000.00","1,328,643,000.00","294,675,000.00","249,288,000.00","45,387,000.00","1,267,866,000.00",0.00,"324,743,000.00","18,815,000.00","925,583,000.00",0.00,0.00,0.00,,0.94,81.14,18.86
SINGAPORE EXCHANGE LIMITED,199904940D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,"424,508,000.00","303,796,000.00",,"301,587,000.00",,"1,010,883,000.00","472,039,000.00","538,844,000.00","329,393,000.00","329,393,000.00",0.00,"681,490,000.00",0.00,"414,851,000.00","20,227,000.00","124,359,000.00",71.04,29.83,44.25,0.42,1.43,67.42,32.58
SINO GRANDNESS FOOD INDUSTRY GROUP LIMITED,200706801H,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"153,452,138.00","158,834.00","153,293,304.00","14,082,701.00","9,613,701.00","4,469,000.00","139,369,437.00",2.00,"167,896,912.00",0.00,"-28,527,475.00",0.00,0.00,0.00,,0.02,90.82,9.18
SINOMEM TECHNOLOGY PTE. LTD.,200208107G,Consolidated,LIMITED PRIVATE COMPANY,2009,,,,,,"156,837,000.00","149,937,000.00","6,900,000.00","26,329,000.00","26,329,000.00",0.00,"130,508,000.00",2.00,"120,782,000.00",0.00,"11,430,000.00",0.00,0.00,0.00,,5.69,83.21,16.79
SMRT CORPORATION LTD,200001855H,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"563,631,000.00","167,976,000.00","395,655,000.00","121,049,000.00","120,221,000.00","828,000.00","442,582,000.00",0.00,"164,811,000.00","2,922,000.00","274,849,000.00",0.00,0.00,0.00,,1.40,78.52,21.48
SOILBUILD GROUP HOLDINGS LTD.,199609233M,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"168,760,000.00","113,219,000.00","55,541,000.00","87,948,000.00","87,907,000.00","41,000.00","80,812,000.00",0.00,"58,703,000.00","5,067,000.00","17,299,000.00",0.00,0.00,0.00,,1.29,47.89,52.11
