"","ID","degree"
"771",2152,3469
"772",2153,3469
"773",2154,3469
"774",2158,3469
"775",2159,3469
"776",2160,3469
"777",2162,3469
"778",2163,3469
"779",2165,3469
"780",2168,3469
"781",2169,3469
"782",2170,3469
"783",2172,3469
"784",2173,3469
"785",2174,3469
"786",2175,3469
"787",2176,3469
"788",2177,3469
"789",2179,3469
"790",2180,3469
"791",2181,3469
"792",2183,3469
"793",2184,3469
"794",2185,3469
"795",2187,3469
"796",2189,3469
"797",2190,3469
"798",2191,3469
"799",2192,3469
"800",2193,3469
"801",2194,3469
"802",2195,3469
"803",2196,3469
"804",2197,3469
"805",2198,3469
"806",2200,3469
"807",2201,3469
"808",2202,3469
"809",2203,3469
"810",2204,3469
"811",2207,3469
"812",2208,3469
"813",2209,3469
"814",2210,3469
"815",2211,3469
"816",2212,3469
"817",2213,3469
"818",2215,3469
"819",2216,3469
"820",2217,3469
"821",2218,3469
"822",2220,3469
"823",2221,3469
"824",2222,3469
"825",2224,3469
"826",2225,3469
"827",2226,3469
"828",2227,3469
"829",2228,3469
"830",2229,3469
"831",2230,3469
"832",2231,3469
"833",2233,3469
"834",2237,3469
"835",2239,3469
"836",2243,3469
"837",2254,3469
"838",2255,3469
"839",2256,3469
"840",2257,3469
"841",2260,3469
"842",2261,3469
"843",2262,3469
"844",2263,3469
"845",2264,3469
"846",2265,3469
"847",2266,3469
"848",2269,3469
"849",2270,3469
"850",2271,3469
"851",2272,3469
"852",2273,3469
"853",2274,3469
"854",2277,3469
"855",2278,3469
"856",2279,3469
"857",2281,3469
"858",2282,3469
"859",2284,3469
"860",2286,3469
"861",2288,3469
"862",2290,3469
"863",2291,3469
"864",2292,3469
"865",2295,3469
"866",2299,3469
"867",2300,3469
"868",2301,3469
"869",2303,3469
"870",2304,3469
"871",2305,3469
"872",2306,3469
"873",2307,3469
"874",2309,3469
"875",2314,3469
"876",2316,3469
"877",2317,3469
"878",2320,3469
"879",2321,3469
"880",2322,3469
"881",2324,3469
"882",2327,3469
"883",2328,3469
"884",2329,3469
"885",2330,3469
"886",2332,3469
"887",2333,3469
"888",2335,3469
"889",2336,3469
"890",2337,3469
"891",2338,3469
"892",2341,3469
"893",2342,3469
"894",2343,3469
"895",2345,3469
"896",2348,3469
"897",2350,3469
"898",2351,3469
"899",2352,3469
"900",2353,3469
"901",2355,3469
"902",2356,3469
"903",2357,3469
"904",2358,3469
"905",2359,3469
"906",2360,3469
"907",2361,3469
"908",2362,3469
"909",2363,3469
"910",2364,3469
"911",2365,3469
"912",2366,3469
"913",2367,3469
"914",2368,3469
"915",2369,3469
"916",2370,3469
"917",2371,3469
"918",2373,3469
"919",2374,3469
"920",2375,3469
"921",2377,3469
"922",2378,3469
"923",2379,3469
"924",2380,3469
"925",2381,3469
"926",2382,3469
"927",2383,3469
"928",2385,3469
"929",2387,3469
"930",2390,3469
"931",2391,3469
"932",2392,3469
